day,home,inpatient_ward,intensive_care_unit,death,recovered
27,180,59,32,0,12
0,909,29,15,0,15
1,916,28,14,1,39
2,894,27,12,1,39
3,878,31,13,1,39
4,856,35,16,0,51
5,827,40,18,1,44
6,789,41,18,0,59
7,745,46,18,0,65
8,687,52,16,1,70
9,662,51,17,1,51
10,614,46,21,1,66
11,585,44,22,1,48
12,542,47,21,1,43
13,499,41,24,0,59
14,452,40,24,0,55
15,436,36,24,0,36
16,395,34,24,0,47
17,371,38,24,0,20
18,340,42,21,1,32
19,303,50,21,0,29
20,284,52,20,0,21
21,258,50,21,1,28
22,227,52,22,0,28
23,218,46,20,3,16
24,199,47,18,0,24
25,183,42,21,0,18
26,171,45,21,0,10
27,166,43,20,0,13
0,926,28,12,0,17
1,936,25,12,0,27
2,971,27,12,0,36
3,966,30,11,0,49
4,913,23,13,0,64
5,962,28,13,0,39
6,892,41,16,0,60
7,836,48,17,0,61
8,786,51,13,2,60
9,750,57,13,0,55
10,699,63,15,0,72
11,666,61,14,1,46
12,641,60,14,1,37
13,585,62,17,2,55
14,531,59,19,1,60
15,469,59,20,0,67
16,422,58,22,1,53
17,385,58,24,1,38
18,356,63,21,3,25
19,324,62,24,0,32
20,281,65,24,0,40
21,256,65,25,1,25
22,239,62,25,0,20
23,218,62,24,1,23
24,210,54,27,0,17
25,188,55,28,0,22
26,173,52,29,1,23
27,159,51,29,1,14
0,964,26,13,0,13
1,958,29,15,0,39
2,954,29,16,0,36
3,931,38,13,0,43
4,905,39,14,1,53
5,868,42,16,1,56
6,807,44,19,0,68
7,771,44,22,1,55
8,726,51,19,0,74
9,688,51,15,2,58
10,640,48,17,1,52
11,607,38,23,0,45
12,570,36,23,0,52
13,542,34,23,0,50
14,490,35,26,1,52
15,441,41,23,1,58
16,402,49,17,2,47
17,368,46,24,0,31
18,336,52,24,2,27
19,305,55,23,1,32
20,285,59,22,4,19
21,270,62,19,0,22
22,246,58,22,0,26
23,231,55,22,1,18
24,214,51,22,0,25
25,204,43,24,1,15
26,199,30,31,0,11
27,180,33,32,1,14
0,924,28,14,0,9
1,918,30,12,1,42
2,948,30,13,0,36
3,927,26,13,0,45
4,894,26,13,1,50
5,872,28,15,0,52
6,827,33,15,0,62
7,776,39,13,0,65
8,755,45,11,0,66
9,720,44,11,0,62
10,649,44,14,1,85
11,612,39,17,0,48
12,591,35,19,0,32
13,544,42,16,1,48
14,490,41,19,1,52
15,447,38,23,0,43
16,427,38,23,2,26
17,380,42,22,0,52
18,375,43,19,2,27
19,341,53,18,0,30
20,306,53,18,1,37
21,282,54,17,0,31
22,263,49,19,0,23
23,235,54,19,2,21
24,213,56,15,3,22
25,198,55,15,0,16
26,183,51,15,2,22
27,166,42,15,4,23
0,924,28,15,0,9
1,936,30,18,0,33
2,944,30,18,0,33
3,990,36,16,1,49
4,963,42,15,1,50
5,955,48,15,1,58
6,927,54,14,0,63
7,903,56,15,1,51
8,860,57,14,1,72
9,819,65,12,0,60
10,782,65,10,2,63
11,756,62,14,0,56
12,740,52,22,1,38
13,700,46,26,3,45
14,663,48,21,0,57
15,627,50,18,2,44
16,577,50,18,0,58
17,523,47,20,0,57
18,476,50,23,0,46
19,447,44,24,1,37
20,412,43,27,1,40
21,379,46,27,1,36
22,338,49,26,1,38
23,294,59,22,0,41
24,275,57,24,0,20
25,253,58,24,0,21
26,223,57,25,0,32
27,203,55,24,1,22
0,911,31,13,1,17
1,895,28,12,0,31
2,956,31,14,0,38
3,941,29,13,1,56
4,919,29,16,0,44
5,879,32,17,0,44
6,838,33,18,0,73
7,784,29,18,1,68
8,715,36,18,1,77
9,675,34,23,0,47
10,630,42,24,0,57
11,597,50,20,1,47
12,562,51,15,1,41
13,520,50,17,0,49
14,459,50,18,0,61
15,450,48,18,1,31
16,412,51,15,0,44
17,358,48,18,0,59
18,318,45,20,2,40
19,283,42,21,2,40
20,261,44,17,3,25
21,239,46,17,2,18
22,208,56,17,0,24
23,190,58,19,0,19
24,183,51,23,2,9
25,170,49,24,0,17
26,158,47,27,1,10
27,149,42,28,1,12
0,918,26,13,0,6
1,935,24,14,1,35
2,946,26,10,1,37
3,942,30,9,0,43
4,921,25,11,0,39
5,886,25,15,0,60
6,860,24,17,0,56
7,790,29,12,2,77
8,720,40,11,1,69
9,672,43,13,1,52
10,712,49,17,0,68
11,683,48,20,0,47
12,686,48,20,0,52
13,632,46,20,0,60
14,588,35,20,2,61
15,575,38,20,0,36
16,545,38,20,0,41
17,500,37,21,1,44
18,469,40,18,0,35
19,439,43,16,0,32
20,411,46,17,0,25
21,397,50,18,0,20
22,364,50,17,1,34
23,340,49,21,1,20
24,321,43,24,1,21
25,283,42,23,0,40
26,249,50,20,0,34
27,205,55,23,0,37
0,937,28,12,1,18
1,955,28,14,0,42
2,951,23,17,0,36
3,923,25,15,0,40
4,910,28,18,0,49
5,907,34,16,1,49
6,857,37,17,0,54
7,791,40,20,0,67
8,732,46,20,1,60
9,697,46,24,0,51
10,653,45,25,1,54
11,618,43,29,2,39
12,574,44,28,0,49
13,548,45,31,0,50
14,510,41,32,2,56
15,472,38,33,3,57
16,428,45,29,3,44
17,376,49,29,1,50
18,342,49,30,1,35
19,311,51,28,0,34
20,285,53,29,1,25
21,261,55,29,0,23
22,238,58,26,1,26
23,219,56,24,1,25
24,196,58,21,0,24
25,190,55,21,0,11
26,176,56,21,0,13
27,171,50,21,0,13
0,914,27,11,0,16
1,921,27,13,0,29
2,927,30,11,2,31
3,950,33,8,0,35
4,913,29,11,0,56
5,893,37,11,0,45
6,843,41,13,0,60
7,801,52,12,0,59
8,722,51,16,1,85
9,682,51,16,1,59
10,617,51,21,2,64
11,596,50,23,0,47
12,568,51,22,2,45
13,518,48,24,1,58
14,472,48,24,0,51
15,443,47,22,2,35
16,395,50,19,1,50
17,365,49,21,1,40
18,374,47,23,1,40
19,345,43,22,1,34
20,320,44,21,0,25
21,313,48,22,0,25
22,283,48,23,1,29
23,265,47,22,0,20
24,260,39,21,0,16
25,249,38,22,1,12
26,234,36,23,1,16
27,217,40,21,0,15
0,968,30,10,1,14
1,969,30,13,0,34
2,968,24,18,0,36
